c0,c1,c2,c3
Position,Velocity,Acceleration,Predecessor Distance
68.07778447,249.5998815,473.1540142,70.23956476
74.76605755,247.7601222,440.6295192,66.80945474
81.49554439,251.2368298,403.570522,64.00793411
87.73000706,253.2862859,363.1284818,61.87905056
94.00035343,255.8470772,322.7519256,59.22433825
99.74484366,255.6493733,278.0995206,58.06836546
104.8946081,254.11944,231.7956952,57.11003746
112.0300362,253.0597502,184.4344714,54.37804817
113.5600082,248.3489104,136.3754011,57.29371564
116.2230619,239.88601,84.81338641,58.22348033
119.4875884,230.1258029,30.13253298,59.38524779
122.3962798,219.5682432,-23.03965683,61.1419967
124.1712634,205.6783028,-78.71266629,62.95077019
126.2791905,189.7830888,-136.3160764,65.56955672
128.1977158,174.9593032,-194.3666833,68.4873555
129.692175,158.1351724,-257.3923128,72.04776004
131.2734841,141.2102455,-326.7685769,75.4160627
132.6593168,125.3260841,-392.9384034,77.70551273
134.4515897,111.0792695,-453.4653161,80.71083839
136.5745321,99.28731252,-503.3184958,83.65227767
138.9355446,90.13824102,-537.1574751,86.33106271
141.5853058,84.05774739,-554.9272643,88.60435712
144.551507,83.86682502,-546.6564535,90.48949359
146.8012305,82.80415447,-518.5288953,93.28876029
149.0281336,82.2518011,-476.7427641,96.10349356
150.7829468,82.8265546,-426.0910493,98.02270893
157.5317624,89.16951048,-360.8707332,96.21770259
161.6888281,96.63596228,-285.3702677,96.66896165
166.3173496,105.5409101,-202.4792602,96.81429749
171.2483508,115.7436149,-114.7478552,96.64500484
176.4160674,126.7892116,-28.16062761,96.13966133
181.882588,138.0777772,54.13900912,95.59364988
189.2621999,150.7881427,131.2067871,94.14162994
193.0378857,161.4746941,198.5915532,95.17353551
200.0287553,173.2817062,256.4802288,91.96819288
206.3198901,185.3115182,305.8374386,90.44980802
213.0145068,197.5618529,347.2906391,88.30587942
219.6556004,210.34367,386.608504,86.1176059
224.7378546,220.0828675,416.5533201,85.45901876
231.5093433,227.4154927,432.6675874,84.36109644
238.32705,232.8356784,436.3870167,82.50146541
245.1029113,240.7506338,434.6001519,80.70983111
